 Gene_name,PValue,logFC,,,,
212431_at,0.00106035,-0.25690757,,,,
211014_s_at,0.00106543,-0.29797855,,,,
230189_x_at,0.00109007,-0.20442828,,,,
219968_at,0.00109818,-0.40865771,,,,
226422_at,0.00111635,0.38071965,,,,
1554115_at,0.00114079,-0.28343439,,,,
1567166_at,0.00114614,-0.24367414,,,,
223424_s_at,0.00116706,0.39417342,,,,
1555811_at,0.00116793,-0.26445471,,,,
233217_at,0.00117827,-0.28875378,,,,
1562787_at,0.0011849,-0.20255809,,,,
200891_s_at,0.00119767,0.34088406,,,,
219311_at,0.00120733,0.48597278,,,,
220906_at,0.00120808,-0.15353052,,,,
214885_at,0.00121831,-0.34924954,,,,
1555359_at,0.00121917,-0.22893417,,,,
207880_at,0.0012279,-0.28100872,,,,
226046_at,0.00123834,0.44185347,,,,
216311_at,0.00125087,-0.22500916,,,,
212974_at,0.00125105,-0.40620865,,,,
229751_s_at,0.00125365,0.58761475,,,,
212855_at,0.00125385,0.51381666,,,,
1560706_at,0.00125672,-0.24052335,,,,
AFFX-M27830_3_at,0.00125778,-0.24207313,,,,
1569528_at,0.00126394,-0.1464918,,,,
231619_at,0.00126446,-0.24523608,,,,
221098_x_at,0.00128023,-0.31571933,,,,
220882_at,0.0012861,-0.20084483,,,,
1567698_x_at,0.00128932,-0.16531661,,,,
233612_at,0.00129001,-0.23336572,,,,
1554258_a_at,0.0012954,-0.57456026,,,,
1564778_at,0.0013277,-0.21327494,,,,
211816_x_at,0.0013301,-0.22344869,,,,
230486_at,0.00133089,-0.31037407,,,,
202684_s_at,0.00135465,0.55883718,,,,
1553613_s_at,0.0013646,1.45112605,,,,
215540_at,0.00137523,-0.24801521,,,,
202276_at,0.00139155,0.34894493,,,,
233589_x_at,0.00139422,-0.75401453,,,,
219038_at,0.00141242,0.57121359,,,,
205318_at,0.00142345,-0.20085563,,,,
236855_at,0.0014465,-0.21799279,,,,
231172_at,0.00144889,-0.20893168,,,,
1566830_at,0.00145592,-0.25878272,,,,
1557453_at,0.00145795,-0.21150405,,,,
1557484_at,0.00146309,-0.20385175,,,,
217026_at,0.00147662,-0.16246412,,,,
237799_at,0.00148022,-0.28502334,,,,
238972_at,0.00148217,-0.1842673,,,,
231456_at,0.00148617,-0.18059965,,,,
237431_at,0.0014949,-0.22759803,,,,
202841_x_at,0.00152423,-0.27976551,,,,
1559820_at,0.00153802,-0.26454656,,,,
226578_s_at,0.00154319,-0.24585297,,,,
1553061_at,0.00155553,-0.20814041,,,,
237178_at,0.00156695,-0.22444642,,,,
32699_s_at,0.00157772,-0.34338127,,,,
235579_at,0.00159006,0.46028614,,,,
211157_at,0.00160955,-0.24033626,,,,
1562619_at,0.00164752,-0.22043005,,,,
239417_x_at,0.00164938,0.43261987,,,,
210422_x_at,0.00166172,-0.29948998,,,,
237826_at,0.00168161,-0.20049151,,,,
217206_at,0.00168804,0.22189117,,,,
1556292_s_at,0.00171724,-0.23657198,,,,
232891_at,0.00172082,-0.23969758,,,,
208205_at,0.00172973,-0.23430414,,,,
206997_s_at,0.00173127,0.31240691,,,,
1560779_a_at,0.00174347,0.25645519,,,,
206092_x_at,0.00175121,-0.29013976,,,,
224929_at,0.0017571,-0.67643529,,,,
239503_at,0.00177321,0.75507479,,,,
241231_at,0.00178594,-0.25264963,,,,
1554519_at,0.00178986,-0.50980878,,,,
203138_at,0.00181913,0.38997238,,,,
1566454_at,0.00182376,-0.21767452,,,,
231082_at,0.00182552,-0.19980676,,,,
216145_at,0.00182704,-0.22558114,,,,
1557137_at,0.00182906,0.62610815,,,,
217070_at,0.00184194,-0.2390897,,,,
1552944_a_at,0.00186414,-0.21637099,,,,
243943_x_at,0.00186745,0.61931338,,,,
243810_at,0.00188105,-0.26065177,,,,
207600_at,0.00188977,-0.2138103,,,,
1560841_at,0.00189808,-0.21898427,,,,
231355_at,0.00190281,-0.20306936,,,,
1563271_at,0.00192104,-0.27441609,,,,
1562741_at,0.00192274,-0.21471916,,,,
205187_at,0.0019402,0.49023022,,,,
218377_s_at,0.00194405,0.32822232,,,,
229428_at,0.00194813,0.42564602,,,,
234913_at,0.00195391,-0.16332138,,,,
1566221_at,0.00196945,-0.23301666,,,,
206617_s_at,0.00200651,-0.48784741,,,,
240049_at,0.0020142,-0.18463986,,,,
214159_at,0.00201881,-0.19421622,,,,
1564069_at,0.00202737,-0.25356684,,,,
1558423_at,0.00202876,-0.34498,,,,
206890_at,0.00203374,-0.208586,,,,
227875_at,0.00204157,1.18774005,,,,
1556855_a_at,0.00204166,-0.23703829,,,,
233311_at,0.00205942,-0.17036248,,,,
1565949_x_at,0.00206391,-0.23212152,,,,
219247_s_at,0.00207462,0.46277392,,,,
1560281_a_at,0.00208169,-0.23123124,,,,
244652_at,0.0020975,-0.2604663,,,,
200999_s_at,0.00209983,0.58218199,,,,
215822_x_at,0.0021024,-0.20307342,,,,
227298_at,0.00211481,0.49406865,,,,
1564143_at,0.00211945,-0.23018446,,,,
235813_at,0.00213018,-0.17700396,,,,
1555349_a_at,0.00215826,-1.0184787,,,,
231352_at,0.00216937,-0.23098553,,,,
205258_at,0.00218758,0.81257828,,,,
228606_at,0.00219998,0.9525562,,,,
244654_at,0.00220761,-0.37603202,,,,
1558279_a_at,0.00221754,0.62555345,,,,
221161_at,0.00223177,-0.23892505,,,,
209674_at,0.0022325,0.44187139,,,,
217240_at,0.00223368,-0.19842447,,,,
201878_at,0.002251,0.42036003,,,,
1552422_at,0.00226942,0.48324138,,,,
244460_at,0.00228305,-0.18762718,,,,
221970_s_at,0.00228598,0.4029758,,,,
1557452_at,0.0023196,-0.2064464,,,,
207527_at,0.0023345,-0.18387635,,,,
221489_s_at,0.00233897,-0.48741998,,,,
216893_s_at,0.00234786,-0.18326176,,,,
211174_s_at,0.00238498,-0.20041178,,,,
220523_at,0.00239925,-0.12151868,,,,
239408_at,0.00241599,-0.21673538,,,,
244759_x_at,0.00242554,-0.19716265,,,,
1557190_at,0.00243738,-0.18294276,,,,
225408_at,0.00243842,-0.57277556,,,,
215875_at,0.00244056,-0.17298174,,,,
206057_x_at,0.00244266,-0.28539356,,,,
230032_at,0.00245569,0.47510186,,,,
230052_s_at,0.00246339,-0.34692713,,,,
204979_s_at,0.00247044,0.66595037,,,,
236784_s_at,0.00248013,-0.23386909,,,,
232388_at,0.00248464,-0.2169828,,,,
212975_at,0.00249055,-0.42177431,,,,
1570221_at,0.00250171,-0.1917101,,,,
224957_at,0.00250964,0.41751177,,,,
240887_at,0.00251745,-0.1831308,,,,
228092_at,0.00253361,0.62885733,,,,
1557276_at,0.00254207,-0.25278765,,,,
1555212_at,0.00254443,-0.15701792,,,,
48612_at,0.00254564,-0.24899071,,,,
1554557_at,0.00254902,0.75007516,,,,
219613_s_at,0.0025498,-0.29024401,,,,
1560905_at,0.00257114,-0.16401033,,,,
1557495_at,0.00257337,-0.14802568,,,,
208875_s_at,0.00257934,0.57152271,,,,
232041_at,0.00258111,-0.18693795,,,,
1552286_at,0.00259146,0.49802458,,,,
200736_s_at,0.00259279,-0.45148491,,,,
242749_at,0.00261248,-0.19505068,,,,
218477_at,0.00261969,0.48378026,,,,
220442_at,0.00262079,-0.85630704,,,,
1562690_at,0.00265362,-0.20457868,,,,
224673_at,0.00265663,-0.39993905,,,,
1557875_at,0.00265991,-0.18454925,,,,
1554219_at,0.00266141,-0.25593188,,,,
224422_x_at,0.00267183,-0.18079692,,,,
206142_at,0.00271803,0.82496087,,,,
1553066_at,0.00272292,-0.18888234,,,,
204116_at,0.00272567,-0.93741179,,,,
217376_at,0.00273329,-0.26798971,,,,
201636_at,0.00274178,0.52910047,,,,
209538_at,0.00275822,0.46704844,,,,
215141_at,0.00276526,0.26354807,,,,
210077_s_at,0.00277263,-0.26484401,,,,
211269_s_at,0.00277507,-0.59526595,,,,
210714_at,0.00278063,-0.16782895,,,,
220379_at,0.00279198,-0.19590939,,,,
1561871_at,0.00280158,-0.21750772,,,,
201397_at,0.00281967,1.05240144,,,,
227548_at,0.00284497,0.48136666,,,,
207973_x_at,0.00284655,-0.20150211,,,,
217053_x_at,0.00286161,-0.43874026,,,,
222050_at,0.0028966,-0.21942513,,,,
239464_at,0.00290234,-0.30835018,,,,
1562749_at,0.00290938,-0.19840043,,,,
202056_at,0.00291284,0.3089611,,,,
232733_s_at,0.00291596,-0.13155262,,,,
237408_at,0.00291889,0.34262466,,,,
1556748_x_at,0.0029242,-0.22147748,,,,
1555603_at,0.00292764,-0.1258919,,,,
239990_at,0.00292902,-0.25373881,,,,
207954_at,0.00293696,-0.2452362,,,,
230136_at,0.00294147,0.5134897,,,,
217459_at,0.00294302,-0.18741144,,,,
234687_x_at,0.00294936,-0.22612086,,,,
228118_x_at,0.00295128,-0.16856098,,,,
237924_at,0.00295775,-0.1730665,,,,
233977_at,0.00298566,-0.19393234,,,,
40359_at,0.00299387,-0.37718816,,,,
242231_at,0.00299464,-0.18058652,,,,
244556_at,0.00302389,-0.25542131,,,,
212952_at,0.00302496,0.38472399,,,,
211397_x_at,0.00303811,-0.24222626,,,,
213793_s_at,0.00304175,0.812633,,,,
240403_at,0.00304233,-0.20620745,,,,
1570630_at,0.00304234,-0.14651613,,,,
244077_at,0.00305367,-0.2085338,,,,
206269_at,0.00305674,-0.24442001,,,,
230489_at,0.0030588,-0.3518988,,,,
233854_x_at,0.00306974,-0.20884105,,,,
39854_r_at,0.00307355,-0.25822448,,,,
221389_at,0.00311303,-0.1923738,,,,
230996_at,0.00311467,-0.17668105,,,,
215172_at,0.00312255,1.26669488,,,,
234576_at,0.00312788,-0.20472219,,,,
236522_at,0.00314253,-0.19224951,,,,
77508_r_at,0.00315206,-0.24590757,,,,
237022_at,0.00315336,-0.21074383,,,,
212885_at,0.00318585,0.28441272,,,,
237674_at,0.00319851,-0.21535756,,,,
1560151_x_at,0.00320609,-0.17862882,,,,
244681_at,0.00325278,-0.1374549,,,,
210865_at,0.00325366,-0.44705189,,,,
231533_at,0.00327052,-0.28173101,,,,
202055_at,0.00327109,0.27562253,,,,
1566607_at,0.00328314,-0.1487507,,,,
241597_at,0.00329757,-0.19687883,,,,
244577_at,0.00330247,-0.22902257,,,,
202209_at,0.00330753,0.34712163,,,,
208303_s_at,0.00332723,-0.2183721,,,,
229363_at,0.0033365,-0.62592969,,,,
1563706_at,0.00333733,-0.17844138,,,,
215805_at,0.00334798,-0.24176476,,,,
218135_at,0.00334994,0.40151754,,,,
1554202_x_at,0.00336845,-0.27120205,,,,
228579_at,0.00337095,-0.33152194,,,,
234404_at,0.00337659,-0.19710845,,,,
202817_s_at,0.00338592,0.47522565,,,,
236762_at,0.00338651,-0.17450325,,,,
224687_at,0.00339382,0.47347212,,,,
37433_at,0.00340799,0.624925,,,,
204171_at,0.0034541,0.36296365,,,,
1569765_at,0.00345724,-0.21647703,,,,
218209_s_at,0.00346235,0.42278066,,,,
207771_at,0.00346567,-0.18400104,,,,
218333_at,0.003473,0.3477808,,,,
213692_s_at,0.00347449,-0.2272536,,,,
1570249_x_at,0.00347453,-0.1472168,,,,
229928_at,0.0034765,0.49719212,,,,
227424_x_at,0.00347964,0.39245822,,,,
207642_at,0.00350181,-0.17617072,,,,
218413_s_at,0.00352535,0.24999469,,,,
1562595_at,0.00352574,-0.13008849,,,,
1553380_at,0.00353446,-0.16622304,,,,
219499_at,0.00354789,0.4441838,,,,
211010_s_at,0.00355509,-0.22805752,,,,
1562256_at,0.00355813,-0.26569697,,,,
238007_at,0.00356158,0.52541799,,,,
237255_at,0.00359324,-0.30605571,,,,
217183_at,0.00360125,-0.20297333,,,,
228677_s_at,0.00360922,-0.28280869,,,,
218538_s_at,0.0036101,0.58266131,,,,
240375_at,0.00361871,-0.19468279,,,,
241204_at,0.00362078,-0.16126747,,,,
222624_s_at,0.00362137,0.45898383,,,,
211879_x_at,0.00363569,-0.22931637,,,,
224629_at,0.00363842,0.34553242,,,,
219040_at,0.00364432,-0.31800356,,,,
1566500_at,0.00365919,-0.20145444,,,,
1553572_a_at,0.00367316,-0.26553528,,,,
204445_s_at,0.00367531,-0.59025029,,,,
214520_at,0.00367773,-0.20741926,,,,
1565697_at,0.00369147,-0.18757134,,,,
235843_at,0.0036919,-0.20396708,,,,
234273_at,0.00369219,-0.1984263,,,,
1557466_at,0.00370261,-0.19621655,,,,
1552884_at,0.00370339,-0.27664347,,,,
236475_at,0.00370546,-0.34702157,,,,
1557203_at,0.00373958,-0.16762474,,,,
225631_at,0.00376913,-0.45025899,,,,
1554173_at,0.00378778,-0.21857745,,,,
1552438_a_at,0.00380968,-0.17530191,,,,
225730_s_at,0.00382063,0.44844397,,,,
232829_at,0.00383063,-0.40290821,,,,
1553163_at,0.00383432,-0.19811281,,,,
204297_at,0.00386773,0.37856232,,,,
1555823_at,0.00386917,-0.21646105,,,,
216849_at,0.00387402,-0.29656111,,,,
1563090_at,0.00387713,-0.17949926,,,,
240697_at,0.0038834,-0.19540595,,,,
234291_s_at,0.00388846,-0.64003733,,,,
239204_at,0.00389157,-0.28521418,,,,
220879_at,0.0038921,-0.16706953,,,,
234545_at,0.00390443,-0.18837038,,,,
1558628_at,0.00391304,0.19429918,,,,
211599_x_at,0.00391845,-0.6913031,,,,
239575_at,0.00393019,-0.16891868,,,,
203202_at,0.00394228,0.45900029,,,,
1563608_a_at,0.00397074,-0.18567439,,,,
1563302_at,0.00397151,-0.18470634,,,,
226966_at,0.0039843,0.31938163,,,,
1561472_at,0.00400524,-0.17001335,,,,
216458_at,0.00401408,-0.16649973,,,,
1570331_at,0.00402677,-0.20839501,,,,
206589_at,0.00403164,-0.33793243,,,,
206556_at,0.00403807,0.68712899,,,,
208071_s_at,0.0040567,-0.45191326,,,,
208269_s_at,0.00408174,-0.39107818,,,,
222278_at,0.00408344,-0.26466289,,,,
243684_at,0.00408812,-0.1716457,,,,
243798_at,0.00409133,-0.17056568,,,,
214065_s_at,0.00411401,-0.22654633,,,,
1555620_a_at,0.00413238,-0.21669231,,,,
224203_at,0.00414742,-0.18358928,,,,
1560869_a_at,0.00416711,-0.22485317,,,,
202816_s_at,0.00418941,0.48533692,,,,
241246_at,0.00419698,-0.25270876,,,,
1563117_at,0.00422229,-0.16721576,,,,
1553805_at,0.00422939,-0.15105976,,,,
1562803_at,0.00422966,-0.14070772,,,,
242333_at,0.00423086,-0.12572465,,,,
227993_at,0.00424304,0.52005411,,,,
227428_at,0.00424975,0.47179827,,,,
210093_s_at,0.00424982,0.38235011,,,,
227601_at,0.0042513,0.33036672,,,,
226379_s_at,0.00425225,-0.2224901,,,,
216929_x_at,0.00425706,-0.4425217,,,,
233586_s_at,0.00426693,-0.60980197,,,,
1570008_at,0.00427712,-0.17764824,,,,
231006_at,0.00428531,-0.18295971,,,,
221473_x_at,0.00428902,-0.37056658,,,,
233631_x_at,0.00429017,-0.21559848,,,,
1555632_at,0.00429499,-0.22603251,,,,
206568_at,0.00430222,-0.17043499,,,,
229788_s_at,0.00430887,-0.1432138,,,,
225551_at,0.00433574,0.47138776,,,,
238270_x_at,0.00434411,-0.23304591,,,,
220000_at,0.00435356,-0.4508882,,,,
1559600_at,0.00437669,-0.1940509,,,,
239905_at,0.00438635,-0.13210462,,,,
241518_at,0.0043894,-0.19918538,,,,
208018_s_at,0.00440844,-0.81171832,,,,
220782_x_at,0.00442141,-0.65807113,,,,
1568723_at,0.00442483,-0.16091247,,,,
202631_s_at,0.00443283,0.50928016,,,,
222765_x_at,0.00443854,0.5267441,,,,
234680_at,0.00445272,-0.22378289,,,,
201879_at,0.0044593,0.42031678,,,,
225500_x_at,0.00447104,-0.26612065,,,,
1554707_at,0.00449124,-0.14193561,,,,
224193_s_at,0.00449971,-0.16253709,,,,
238097_at,0.00450197,-0.26704022,,,,
221869_at,0.00451019,0.70671476,,,,
222929_at,0.00453887,0.24960009,,,,
230501_at,0.00454823,-0.17516414,,,,
217354_s_at,0.00455984,-0.30631516,,,,
1560279_a_at,0.00456418,-0.17869955,,,,
206270_at,0.00456679,-0.16717763,,,,
235119_at,0.00457483,0.36578826,,,,
1569775_at,0.0045798,-0.26477773,,,,
1566093_at,0.00459052,-0.18757845,,,,
65493_at,0.00459461,0.41209841,,,,
214196_s_at,0.00460298,-0.55169226,,,,
242959_at,0.00460516,-0.20571808,,,,
37254_at,0.00460831,0.40385867,,,,
239751_at,0.00462028,-0.34647227,,,,
232253_at,0.0046341,-0.35604041,,,,
244071_at,0.00464179,0.45479632,,,,
1552504_a_at,0.00467224,-0.31350221,,,,
233870_at,0.00467447,-0.2072354,,,,
216408_at,0.00469927,-0.14809783,,,,
218598_at,0.00470746,0.36664085,,,,
220260_at,0.00471038,0.40834911,,,,
223303_at,0.00472068,-0.57047245,,,,
202803_s_at,0.00474773,-0.85279353,,,,
216428_x_at,0.0047482,-0.2238905,,,,
1570281_at,0.00476131,-0.20787576,,,,
213357_at,0.00479104,0.46480135,,,,
1555500_s_at,0.0047921,0.49408942,,,,
1563370_at,0.00479675,-0.14816982,,,,
1565908_at,0.00480062,-0.19177138,,,,
1555650_at,0.0048017,-0.18114825,,,,
238749_at,0.00485325,-0.19240188,,,,
203970_s_at,0.00487127,0.46909533,,,,
234427_at,0.00487403,-0.1452704,,,,
1567628_at,0.00487508,-0.84536437,,,,
233008_at,0.00487616,-0.21745319,,,,
240510_at,0.00487968,-0.16171789,,,,
240010_at,0.00489578,-0.21909999,,,,
1562834_at,0.00491453,-0.20425939,,,,
241073_at,0.00494413,-0.16642847,,,,
1556987_s_at,0.00494992,-0.22397856,,,,
210971_s_at,0.00496235,-0.55632226,,,,
215934_at,0.00496673,-0.20890074,,,,
239138_at,0.00499783,0.49083345,,,,
228945_s_at,0.00501834,-0.26333325,,,,
221757_at,0.00502821,-0.41020779,,,,
227715_at,0.00504176,-0.34492676,,,,
220226_at,0.00506637,-0.1609688,,,,
1568717_a_at,0.00507117,-0.20219526,,,,
228938_at,0.00507563,-0.34925114,,,,
205456_at,0.00508025,-0.32037335,,,,
212554_at,0.00510332,0.95921822,,,,
1560162_at,0.00510817,-0.15888834,,,,
214648_at,0.00511047,-0.14350191,,,,
213807_x_at,0.00511071,-0.59376321,,,,
219856_at,0.00512513,-0.91002226,,,,
57703_at,0.00513463,0.50264211,,,,
1560382_at,0.00514126,-0.22935784,,,,
210040_at,0.00516781,-0.1351364,,,,
1560129_at,0.00518322,-0.14563147,,,,
240611_at,0.00519465,-0.16459435,,,,
1555203_s_at,0.00519469,-1.35323632,,,,
243922_at,0.00520069,-0.19431976,,,,
242245_at,0.0052008,0.98072957,,,,
215821_x_at,0.00520084,-0.52102325,,,,
225884_s_at,0.00521275,0.37295219,,,,
1553359_at,0.00521536,-0.24153465,,,,
1554503_a_at,0.00522257,-0.65626305,,,,
234316_x_at,0.00522409,-0.51156856,,,,
207368_at,0.00523621,-0.4662635,,,,
224446_at,0.00524886,0.40074844,,,,
231484_at,0.0052502,-0.55798091,,,,
221100_at,0.00526138,-0.52345925,,,,
231267_at,0.00527172,-0.17779779,,,,
1562850_at,0.00529533,-0.1355069,,,,
1556414_at,0.00529577,0.32554041,,,,
241517_at,0.00530958,-0.20517018,,,,
244002_at,0.00530981,-0.17921972,,,,
218166_s_at,0.00533107,0.42457363,,,,
242259_at,0.00533375,-0.16266945,,,,
211534_x_at,0.0053418,-0.44322591,,,,
234638_at,0.00534457,0.17704524,,,,
1566147_a_at,0.00535478,-0.30224065,,,,
211587_x_at,0.00537581,-0.28305978,,,,
236572_at,0.00537611,-0.210903,,,,
222305_at,0.00537949,0.33104619,,,,
225073_at,0.005383,0.35786436,,,,
220121_at,0.00538677,0.52651075,,,,
223804_s_at,0.00538734,0.27121335,,,,
241855_s_at,0.00538826,-0.14207455,,,,
203266_s_at,0.00539953,0.43642366,,,,
1553447_at,0.00540536,-0.19776408,,,,
225535_s_at,0.00542317,0.34108545,,,,
214316_x_at,0.00542553,0.40906129,,,,
234264_at,0.00542825,-0.16462489,,,,
203402_at,0.00544104,-0.53032871,,,,
223202_s_at,0.00544327,-0.4449556,,,,
226109_at,0.00544483,0.76188386,,,,
228869_at,0.00545427,-0.75958065,,,,
208468_at,0.00551679,-0.21125088,,,,
1561712_at,0.00552155,-0.20919593,,,,
219538_at,0.00552364,0.40157558,,,,
1566728_at,0.00552616,-0.17121845,,,,
237453_at,0.00552721,-0.17809757,,,,
1565082_x_at,0.00554137,-0.25667727,,,,
205914_s_at,0.00556032,-0.23128974,,,,
216085_at,0.00556282,-0.22557677,,,,
206406_at,0.00556444,-0.2060911,,,,
215484_at,0.00556871,-0.20255667,,,,
234772_s_at,0.00557226,-0.14784021,,,,
232982_at,0.00558781,-0.17810443,,,,
239664_at,0.00559508,-0.16278647,,,,
237494_at,0.00559869,-0.17749118,,,,
1555775_a_at,0.00560257,-0.14404267,,,,
216291_at,0.00560927,-0.15290087,,,,
236991_at,0.00562028,-0.16354037,,,,
202265_at,0.00562959,0.3977387,,,,
1555970_at,0.00563582,-0.31706144,,,,
223412_at,0.00563676,0.44353481,,,,
221459_at,0.00565325,-0.17402931,,,,
230232_at,0.00565331,-0.17398192,,,,
1568513_x_at,0.00572037,-0.30581722,,,,
214569_at,0.00572203,-0.13400107,,,,
1556507_at,0.00572757,-0.258262,,,,
1566141_at,0.00574693,-0.17964908,,,,
216579_at,0.00576676,-0.26425701,,,,
208114_s_at,0.00577152,0.45717926,,,,
220566_at,0.00578162,-0.22742963,,,,
