 Gene_name,PValue,logFC,,,,
235909_at,0.05702863,-0.12098233,,,,
226724_s_at,0.05703243,-0.17342669,,,,
234152_at,0.05703505,-0.1324182,,,,
1557981_at,0.05704162,-0.14336116,,,,
225140_at,0.05704886,-0.41815373,,,,
218809_at,0.05704889,0.22024743,,,,
230759_at,0.05705517,-0.23663036,,,,
216546_s_at,0.05708044,-0.15927839,,,,
216570_x_at,0.05710515,-0.22649213,,,,
1568636_a_at,0.05710901,-0.12781481,,,,
229079_at,0.05712054,-0.1355276,,,,
225648_at,0.05712518,0.23292569,,,,
221226_s_at,0.05718107,-0.13913138,,,,
222112_at,0.05718377,-0.11140718,,,,
202015_x_at,0.0571967,0.10435758,,,,
228410_at,0.057199,-0.44079135,,,,
224079_at,0.05720018,-0.17590972,,,,
240926_at,0.05722356,0.1943531,,,,
232474_at,0.05724723,-0.14478879,,,,
221092_at,0.05725366,-0.2793097,,,,
237937_x_at,0.0572772,-0.07405684,,,,
48659_at,0.05728956,-0.18575287,,,,
228965_s_at,0.05730195,-0.16309277,,,,
206328_at,0.05735129,0.22069785,,,,
1564262_at,0.05736241,-0.12158226,,,,
214907_at,0.05737179,-0.24021785,,,,
1566841_at,0.0573773,-0.12641958,,,,
1565838_at,0.0573899,-0.13174673,,,,
220531_at,0.05739466,-0.13860863,,,,
234820_at,0.0574101,-0.1300501,,,,
218214_at,0.05742552,0.26073572,,,,
1569316_at,0.05743354,0.3194881,,,,
207068_at,0.05744154,0.46575937,,,,
211530_x_at,0.05745847,-0.3546053,,,,
1564190_x_at,0.05747875,0.1839984,,,,
1554940_a_at,0.05750974,-0.12829622,,,,
220499_at,0.05751221,-0.11857084,,,,
1561914_at,0.05752019,-0.09026554,,,,
218886_at,0.05753081,0.29548308,,,,
234144_at,0.05753675,-0.19902147,,,,
242397_at,0.05753693,-0.11160015,,,,
239196_at,0.05754397,-0.67026177,,,,
231471_at,0.05754706,-0.10976612,,,,
1562557_at,0.05757498,-0.13613071,,,,
1558804_at,0.05759766,-0.12931482,,,,
221129_at,0.05761228,-0.13227246,,,,
210015_s_at,0.05764299,-0.51737286,,,,
1561820_at,0.05766749,-0.14251923,,,,
1558839_at,0.05768204,-0.1558134,,,,
1555923_a_at,0.05768458,0.44159832,,,,
229642_at,0.05769913,-0.19168215,,,,
1564050_at,0.05772861,-0.13102918,,,,
228665_at,0.05773593,0.54984068,,,,
213896_x_at,0.05775713,0.31767184,,,,
244797_at,0.05776552,-0.12931691,,,,
200923_at,0.05776785,-0.58085659,,,,
1568922_at,0.05776916,-0.13137652,,,,
224554_at,0.05778517,-0.10881226,,,,
225902_at,0.05778888,0.22752324,,,,
227574_at,0.05781438,0.35126999,,,,
241691_at,0.0578426,-0.11042742,,,,
240000_at,0.05784618,0.24278912,,,,
205770_at,0.05784817,-0.4277783,,,,
203281_s_at,0.05785133,-0.35174971,,,,
1566477_at,0.05788864,-0.14307172,,,,
229364_at,0.05789765,-0.17754991,,,,
1554691_a_at,0.0579023,-0.44727082,,,,
243137_at,0.05790945,-0.12186152,,,,
242915_at,0.05792571,0.59047745,,,,
201485_s_at,0.05793153,0.42169238,,,,
217477_at,0.05795016,-0.21506805,,,,
201621_at,0.05795302,-0.61003665,,,,
244545_at,0.05797945,-0.53260284,,,,
205627_at,0.05798753,-0.89588127,,,,
222350_at,0.05800386,0.28799026,,,,
231428_at,0.05800737,-0.18485115,,,,
220313_at,0.05801592,0.7897063,,,,
233200_at,0.05802955,-0.12586972,,,,
208787_at,0.05809319,0.24527409,,,,
244663_at,0.05809486,0.49237156,,,,
230054_at,0.05817317,0.26490154,,,,
237708_at,0.05821017,-0.11425847,,,,
237060_at,0.05821777,-0.21705489,,,,
217106_x_at,0.05821894,0.21312404,,,,
234183_at,0.05823282,-0.08777655,,,,
210017_at,0.05823829,0.41090424,,,,
1552367_a_at,0.05824027,-0.61369723,,,,
226619_at,0.05824561,0.26810292,,,,
1555738_at,0.05825666,-0.15600671,,,,
208390_s_at,0.05829524,-0.16044722,,,,
241447_at,0.05830631,-0.12770152,,,,
229665_at,0.05830873,0.51487892,,,,
215098_at,0.05830979,-0.11947687,,,,
237602_at,0.05832354,0.08653349,,,,
239323_at,0.05833854,0.16591902,,,,
206604_at,0.05834273,-0.28511238,,,,
243210_at,0.05837313,-0.18396545,,,,
228393_s_at,0.0583898,0.53241487,,,,
234965_at,0.05841435,-0.11740185,,,,
226660_at,0.05841581,0.25609841,,,,
226977_at,0.05844118,-0.35030425,,,,
218768_at,0.05844673,0.40793044,,,,
202960_s_at,0.05846989,0.39570477,,,,
244524_at,0.05847501,-0.43853253,,,,
1563260_at,0.05848311,-0.11257907,,,,
236133_x_at,0.05848616,0.35217781,,,,
1553646_at,0.05848632,0.37099487,,,,
231098_at,0.05851117,0.73594149,,,,
230697_at,0.05853151,0.27921859,,,,
1568779_a_at,0.05853879,0.39498678,,,,
224429_x_at,0.05854522,-0.14782112,,,,
213206_at,0.05854631,0.25865215,,,,
205665_at,0.05858916,0.33365089,,,,
206205_at,0.05862551,0.36324605,,,,
1553993_s_at,0.05863607,-0.26954257,,,,
239125_at,0.05863683,0.19314057,,,,
200614_at,0.0586398,0.18629543,,,,
230334_at,0.05864541,0.22240258,,,,
239706_x_at,0.05867121,-0.15348669,,,,
244110_at,0.05867935,-0.32217683,,,,
236483_at,0.05868814,0.19693854,,,,
55705_at,0.05869626,-0.18351941,,,,
229101_at,0.05869676,-0.26921859,,,,
207674_at,0.05871015,-0.17872925,,,,
219988_s_at,0.05871053,-0.23975969,,,,
243321_at,0.05872618,-0.11105166,,,,
202629_at,0.05873875,0.27295161,,,,
1559344_at,0.05874165,-0.09752369,,,,
230747_s_at,0.05879141,0.42578941,,,,
241815_at,0.05883458,0.53326985,,,,
237992_at,0.05884392,-0.13964297,,,,
211742_s_at,0.05884581,-0.55732985,,,,
227814_at,0.05887329,0.28020558,,,,
1557878_at,0.05888624,-0.09817676,,,,
231788_at,0.05890052,-0.3228635,,,,
221655_x_at,0.05890807,-0.40229772,,,,
220666_at,0.0589151,0.09710341,,,,
210341_at,0.05893683,-0.3445134,,,,
41657_at,0.05894903,-0.18682904,,,,
1558365_at,0.05895741,-0.42361567,,,,
212756_s_at,0.05896119,0.21861614,,,,
221420_at,0.0589843,-0.13566459,,,,
1553033_at,0.05902109,-0.1404808,,,,
216260_at,0.05903355,0.19031843,,,,
211121_s_at,0.05903737,-0.27212297,,,,
216736_at,0.05905413,-0.13682939,,,,
239715_at,0.05907511,0.38887451,,,,
1553227_s_at,0.05909815,0.28429694,,,,
1554646_at,0.05914272,-0.14769511,,,,
241491_at,0.05914622,-0.10471288,,,,
235093_at,0.05917297,0.27135486,,,,
212030_at,0.05920125,0.25192998,,,,
1555294_a_at,0.05920441,0.29589624,,,,
210974_s_at,0.05921212,-0.42784581,,,,
1557649_at,0.05921959,-0.18136705,,,,
217022_s_at,0.05922286,-1.23082057,,,,
239362_at,0.05922318,-0.13227101,,,,
230275_at,0.0592246,0.34143639,,,,
205607_s_at,0.05923086,0.29345875,,,,
223853_at,0.05924879,-0.22531295,,,,
219203_at,0.05925167,0.27107928,,,,
234942_s_at,0.05925943,-0.45844025,,,,
1569300_at,0.05926283,-0.09059749,,,,
219765_at,0.05927034,0.32711462,,,,
1561693_at,0.0592722,-0.14481044,,,,
244439_at,0.05928219,-0.52284605,,,,
200748_s_at,0.0592842,-0.2158938,,,,
212752_at,0.05928965,0.22563462,,,,
233230_s_at,0.05929375,-0.41578517,,,,
228169_s_at,0.05931027,0.1389583,,,,
217748_at,0.05932575,-0.26965926,,,,
226477_at,0.05933432,-0.26963874,,,,
1552766_at,0.05934132,0.78817265,,,,
210009_s_at,0.05934969,0.23878911,,,,
1552516_a_at,0.05935113,-0.35672506,,,,
202706_s_at,0.05935515,0.28430461,,,,
218629_at,0.05936466,0.22691256,,,,
233574_at,0.05937721,-0.13156247,,,,
237851_at,0.05937955,0.17509797,,,,
240479_at,0.05938711,-0.20571833,,,,
234423_x_at,0.05939075,0.22701955,,,,
236807_at,0.05939233,-0.12620456,,,,
1569172_a_at,0.05941484,-0.15741189,,,,
1566973_at,0.0594265,-0.15343138,,,,
205504_at,0.05943807,-0.4209871,,,,
242003_at,0.05945057,0.20259665,,,,
235801_at,0.05945349,0.68477052,,,,
231978_at,0.0594772,0.2991017,,,,
221460_at,0.05948089,-0.16226103,,,,
227397_at,0.0594871,-0.14707682,,,,
222180_at,0.05949186,0.22033747,,,,
242299_at,0.05950166,-0.09856787,,,,
236679_x_at,0.05951395,0.22386772,,,,
1558334_a_at,0.05952818,-0.17077515,,,,
228696_at,0.05953025,-0.51741266,,,,
244788_at,0.05953716,0.33053004,,,,
203519_s_at,0.05958272,0.18506719,,,,
211133_x_at,0.05959981,-0.25715666,,,,
243185_at,0.0596012,-0.10809257,,,,
232543_x_at,0.05960172,-0.41780244,,,,
212930_at,0.05960333,0.42960186,,,,
222377_at,0.05961153,-0.28902482,,,,
1569709_at,0.05961843,-0.10338981,,,,
216342_x_at,0.05965144,-0.18739135,,,,
214214_s_at,0.05966229,0.25032892,,,,
236936_at,0.05967035,0.62704891,,,,
1552698_at,0.05967149,-0.20465245,,,,
216503_s_at,0.05967852,0.27409046,,,,
206444_at,0.05970695,-0.10662613,,,,
225153_at,0.05974095,0.27075898,,,,
1570569_at,0.05974583,-0.10834469,,,,
240376_s_at,0.05978007,0.27101591,,,,
220424_at,0.05979034,-0.14211612,,,,
230707_at,0.05979828,-0.24630148,,,,
209617_s_at,0.05981225,0.64533264,,,,
242411_at,0.05981685,-0.14269461,,,,
202659_at,0.05982012,-0.36503761,,,,
242390_at,0.05982053,-0.14291661,,,,
215544_s_at,0.05983674,0.16168031,,,,
214220_s_at,0.05984128,0.29575714,,,,
234760_at,0.05984959,-0.14841739,,,,
210470_x_at,0.05986984,-0.30973565,,,,
240019_at,0.05987868,-0.11037744,,,,
214685_at,0.05990783,0.07339923,,,,
219812_at,0.05993308,-0.47769304,,,,
237554_at,0.05994272,0.18742923,,,,
1554448_at,0.05994646,-0.15215373,,,,
1556426_at,0.05994666,-0.11421225,,,,
229088_at,0.05995473,0.66072979,,,,
232701_at,0.05996947,-0.19098646,,,,
228227_at,0.05998681,-0.15351066,,,,
225449_at,0.05999784,-0.27483573,,,,
240628_at,0.06002551,-0.11094892,,,,
216573_at,0.06003281,-0.32068476,,,,
210739_x_at,0.06003559,-0.43836018,,,,
230138_at,0.06004574,-0.14640036,,,,
233069_at,0.06004892,-0.15946197,,,,
213833_x_at,0.06005673,-0.13986101,,,,
234165_at,0.06007063,-0.26053754,,,,
240732_at,0.06007292,-0.14618494,,,,
202527_s_at,0.06008332,0.32637037,,,,
202365_at,0.06008915,0.25401948,,,,
204905_s_at,0.06009356,0.33465394,,,,
1569013_s_at,0.06010621,-0.26805432,,,,
213818_x_at,0.06010716,-0.22445279,,,,
239142_at,0.06011957,0.31708215,,,,
205986_at,0.06012152,-0.2406418,,,,
1557993_at,0.06012327,-0.12835042,,,,
1563077_at,0.06013161,0.16990774,,,,
215739_s_at,0.06017235,-0.4897272,,,,
229498_at,0.06021518,0.66089294,,,,
1560397_s_at,0.06021731,-0.20059017,,,,
238636_at,0.06023787,-0.24010119,,,,
227389_x_at,0.06023865,-0.1265528,,,,
231920_s_at,0.06025189,0.24539768,,,,
235941_s_at,0.06025286,0.26039135,,,,
208151_x_at,0.06025919,-0.42110055,,,,
242747_at,0.06026309,-0.1149792,,,,
214487_s_at,0.06029114,-0.41848341,,,,
202543_s_at,0.06032736,0.32299418,,,,
234486_at,0.06036531,-0.16211296,,,,
1561003_at,0.06037766,-0.08885724,,,,
208230_s_at,0.06038488,-0.17097673,,,,
216488_s_at,0.06042121,-0.38628291,,,,
1557370_s_at,0.06042177,-0.28413192,,,,
225635_s_at,0.06043037,-0.27737748,,,,
212663_at,0.06043771,-0.23438257,,,,
208158_s_at,0.06045727,0.42836911,,,,
1560372_at,0.06047825,-0.07232268,,,,
1552676_at,0.06048787,-0.12560557,,,,
203290_at,0.06049038,-1.17353758,,,,
211156_at,0.06049221,-0.14343566,,,,
209793_at,0.06050454,-0.21123224,,,,
1568734_a_at,0.06051036,-0.10523787,,,,
214388_at,0.0605194,-0.10365375,,,,
240252_at,0.06053863,-0.13327344,,,,
1563655_at,0.06054252,-0.11653421,,,,
201247_at,0.06054372,-0.30646636,,,,
215717_s_at,0.06054405,0.19375496,,,,
226011_at,0.06055659,-0.15683384,,,,
203341_at,0.06058723,0.2391406,,,,
1570623_at,0.06058865,0.14519711,,,,
228258_at,0.06060458,-0.36248315,,,,
235044_at,0.06061414,0.59200765,,,,
234849_at,0.06061809,-0.15886751,,,,
202079_s_at,0.06062407,-0.31636872,,,,
223032_x_at,0.06063445,-0.25854239,,,,
240754_at,0.06064846,-0.10215555,,,,
222110_at,0.06065545,0.22995439,,,,
212055_at,0.06065698,0.38494702,,,,
1569042_at,0.0606576,-0.12499308,,,,
218386_x_at,0.06066627,0.2333916,,,,
230142_s_at,0.06066739,-0.30450604,,,,
1555722_at,0.0606732,-0.1356274,,,,
1569545_at,0.06068528,-0.09803769,,,,
217670_at,0.0606874,-0.12814779,,,,
215698_at,0.06069195,0.37642597,,,,
213633_at,0.06069527,-0.20311025,,,,
238078_at,0.06071289,0.28260654,,,,
226691_at,0.06074332,-0.22533574,,,,
217826_s_at,0.06074456,-0.31364671,,,,
215264_at,0.06074677,-0.08587476,,,,
212569_at,0.0607581,0.34690064,,,,
242914_at,0.060762,-0.10241739,,,,
238261_at,0.06080047,-0.14969816,,,,
1561365_at,0.06081276,-0.18098147,,,,
230129_at,0.0608237,0.35146867,,,,
1560257_at,0.06084118,-0.11976159,,,,
239366_at,0.06084224,0.22860938,,,,
239019_at,0.06085007,0.28274532,,,,
1562245_a_at,0.06086093,0.37728262,,,,
213609_s_at,0.06088027,-0.36021705,,,,
225937_at,0.06090319,0.44594964,,,,
215066_at,0.06093101,0.29090134,,,,
1555815_a_at,0.0609331,-0.27653079,,,,
228189_at,0.06094448,0.27125273,,,,
200861_at,0.060959,-0.21026607,,,,
233742_at,0.06096775,-0.13356002,,,,
1553032_at,0.0609781,-0.13608988,,,,
216498_at,0.06099226,-0.10120539,,,,
211730_s_at,0.06099439,-0.29254966,,,,
240913_at,0.06099464,0.23410005,,,,
1556412_at,0.06099955,-0.13938676,,,,
224368_s_at,0.06100266,-0.40152503,,,,
1562330_s_at,0.06105089,-0.10375467,,,,
238089_at,0.06106107,0.25312605,,,,
211666_x_at,0.06107411,-0.23657231,,,,
212559_at,0.061094,-0.19866026,,,,
221508_at,0.06112442,-0.1933793,,,,
207366_at,0.0611287,-0.20386944,,,,
212245_at,0.06113825,0.23478432,,,,
218432_at,0.06113996,0.22915608,,,,
232765_x_at,0.06114877,-0.16171925,,,,
223714_at,0.06114977,0.47179073,,,,
213452_at,0.06115539,0.33431857,,,,
208105_at,0.06116395,-0.09249937,,,,
207353_s_at,0.06116674,-0.18585231,,,,
205218_at,0.06116929,0.25314571,,,,
233043_at,0.06118056,-0.10581653,,,,
1555664_at,0.06118793,-0.0965758,,,,
1562384_at,0.061196,-0.09608783,,,,
232707_at,0.06120817,-0.83123318,,,,
220414_at,0.06120952,1.26556891,,,,
239875_at,0.06122027,-0.11507967,,,,
244553_at,0.06122664,-0.27119532,,,,
216447_at,0.06127347,0.11158056,,,,
206676_at,0.06128163,-0.51320942,,,,
1560552_a_at,0.06130513,-0.10707373,,,,
236963_at,0.06131011,0.26029506,,,,
1569840_at,0.0613156,-0.10190847,,,,
226988_s_at,0.06132441,-0.47798808,,,,
1561572_at,0.06133601,-0.14328209,,,,
219959_at,0.0613498,0.66585098,,,,
234867_at,0.06134992,-0.11521341,,,,
1559675_at,0.06137398,-0.19702109,,,,
211988_at,0.0614151,0.27072622,,,,
244053_at,0.06142815,-0.22702699,,,,
230703_at,0.06143238,-0.39481258,,,,
215606_s_at,0.06143479,0.34691621,,,,
239518_at,0.06146456,-0.10928906,,,,
225359_at,0.06146664,0.28339152,,,,
210638_s_at,0.06148993,0.22519605,,,,
227510_x_at,0.06149456,-0.69735539,,,,
205498_at,0.06153917,1.05762237,,,,
222764_at,0.06154142,-0.6955164,,,,
231522_at,0.06154281,-0.11728126,,,,
1556697_at,0.0615451,-0.18287588,,,,
1559400_s_at,0.0615884,0.25864508,,,,
1557348_at,0.06159985,-0.24133369,,,,
209227_at,0.06161544,0.682949,,,,
1556492_a_at,0.06163852,0.10989785,,,,
217170_at,0.06164626,-0.12305782,,,,
221344_at,0.06166533,-0.10383722,,,,
1554234_at,0.06168161,0.1981105,,,,
221463_at,0.06171026,-0.46369778,,,,
211581_x_at,0.06171313,-0.48836551,,,,
1561346_at,0.06175213,-0.24999295,,,,
203035_s_at,0.06176719,0.38143847,,,,
1562032_at,0.06177736,-0.0997416,,,,
1556082_a_at,0.06181022,-0.20716163,,,,
226325_at,0.06182595,0.57176995,,,,
205903_s_at,0.06184258,0.25292852,,,,
226464_at,0.06185057,0.3150741,,,,
207646_s_at,0.06185932,-0.11430239,,,,
222005_s_at,0.0618725,-0.11376566,,,,
212781_at,0.06187778,0.19533137,,,,
217693_x_at,0.06189339,0.18967001,,,,
1561225_at,0.06189801,-0.12375846,,,,
243340_at,0.06191739,-0.15927203,,,,
1567035_at,0.06194071,-0.16230601,,,,
243248_at,0.06196147,-0.13383878,,,,
208130_s_at,0.06197142,-0.39706333,,,,
221060_s_at,0.06198426,-0.5051655,,,,
213078_x_at,0.06198555,-0.42185756,,,,
216650_at,0.06199733,-0.19965032,,,,
231080_at,0.06200882,-0.15583254,,,,
1563743_at,0.06202193,-0.14734371,,,,
1553024_at,0.06208247,-0.0663764,,,,
210508_s_at,0.06209164,-0.50740054,,,,
1558972_s_at,0.0621022,-0.5241608,,,,
220003_at,0.06210711,-0.23858147,,,,
202574_s_at,0.06210843,-0.2508675,,,,
1570106_at,0.06211472,-0.10687387,,,,
227316_at,0.06212079,-0.22837646,,,,
1557707_at,0.06213958,0.14902301,,,,
238845_at,0.06214333,0.13020732,,,,
240389_at,0.06215853,-0.20285738,,,,
214863_at,0.06217575,-0.12613638,,,,
219784_at,0.06218985,-0.13960266,,,,
243413_at,0.06220042,0.37478581,,,,
208117_s_at,0.06220168,-0.19211008,,,,
231729_s_at,0.06220938,0.87550205,,,,
219616_at,0.06221116,0.56528779,,,,
1554938_a_at,0.06224263,-0.24310504,,,,
243099_at,0.06225848,-0.2975919,,,,
242895_x_at,0.06230079,-0.15345534,,,,
241374_at,0.06232378,0.22284209,,,,
209415_at,0.06232554,-0.12411135,,,,
204625_s_at,0.06233376,-0.21731075,,,,
1555004_a_at,0.06233828,-0.30486418,,,,
218440_at,0.06237594,0.38544691,,,,
1559044_at,0.06237611,0.13397929,,,,
223448_x_at,0.06238592,0.17432687,,,,
224529_s_at,0.0623962,-0.11219336,,,,
224258_at,0.06242018,-0.11905861,,,,
1556796_at,0.06244553,-0.10396838,,,,
238830_at,0.06248439,-0.09907364,,,,
1570039_at,0.06249757,0.40703357,,,,
229316_at,0.06249967,-0.14910068,,,,
209869_at,0.06251,-0.80442382,,,,
227054_at,0.06252573,0.35024069,,,,
1553857_at,0.06253165,-0.24534674,,,,
1566285_at,0.06254826,-0.08693589,,,,
202248_at,0.06256731,-0.18358831,,,,
207005_s_at,0.06257814,0.14286672,,,,
223176_at,0.06259639,0.26657488,,,,
215403_at,0.06260747,-0.10527319,,,,
216830_at,0.06261908,-0.14371007,,,,
207224_s_at,0.06265412,-0.44181419,,,,
204405_x_at,0.06265701,0.19895489,,,,
1562765_at,0.06265715,-0.10289027,,,,
227907_at,0.06266109,-0.16692175,,,,
206880_at,0.06266221,-0.13465102,,,,
204269_at,0.0627103,-0.3289941,,,,
1558466_at,0.06271564,0.24588709,,,,
1560034_a_at,0.062726,-0.33737356,,,,
222933_at,0.06272697,-0.12076482,,,,
227124_at,0.06273885,0.26254321,,,,
201050_at,0.06275592,-0.45288219,,,,
236394_at,0.06276671,-0.13669581,,,,
217074_at,0.06278501,-0.15801311,,,,
241879_at,0.06282351,0.36772321,,,,
203352_at,0.0628416,0.28171307,,,,
211185_s_at,0.0628744,0.19990904,,,,
202698_x_at,0.06288701,-0.18177964,,,,
237662_at,0.06292253,-0.14428981,,,,
229511_at,0.06299996,0.51199235,,,,
1567244_at,0.06300226,-0.08998496,,,,
242402_x_at,0.06305794,0.21573229,,,,
1560300_a_at,0.06305934,-0.13895675,,,,
240487_at,0.06309461,-0.09315103,,,,
224512_s_at,0.06309558,0.26321439,,,,
234376_at,0.06314933,-0.12815546,,,,
1561595_x_at,0.06316425,-0.14195495,,,,
226884_at,0.06316468,0.99995525,,,,
221278_at,0.06317874,-0.22312969,,,,
229850_at,0.06318101,0.35916552,,,,
201588_at,0.06319754,0.18641764,,,,
224778_s_at,0.06320008,0.3138034,,,,
203608_at,0.06320039,0.70875208,,,,
1561699_a_at,0.06320516,-0.07933367,,,,
215788_at,0.06323005,-0.1511688,,,,
206511_s_at,0.06325605,0.42664619,,,,
244124_at,0.06326115,-0.11154686,,,,
215389_s_at,0.0632669,0.41370561,,,,
1558345_a_at,0.0632683,0.37792552,,,,
229738_at,0.06328128,-0.30223341,,,,
232453_at,0.06328906,0.28783415,,,,
241457_at,0.06329021,0.73228715,,,,
1569596_at,0.06331474,-0.09747557,,,,
1566861_at,0.06331905,-0.1074909,,,,
213970_at,0.06336151,0.26038131,,,,
238766_at,0.06336762,0.34249363,,,,
205079_s_at,0.06336993,0.54804689,,,,
241571_at,0.06338806,-0.1135288,,,,
225164_s_at,0.0634018,0.28515105,,,,
1570388_a_at,0.06340519,-0.1372269,,,,
1557404_at,0.06341216,-0.12398504,,,,
229741_at,0.06342982,0.25694407,,,,
226460_at,0.06343331,-0.37891024,,,,
1552737_s_at,0.06343717,-0.35555459,,,,
1566709_at,0.06345169,-0.12328808,,,,
220321_s_at,0.06346559,0.32283581,,,,
234487_at,0.06346956,-0.10383967,,,,
227184_at,0.06347227,-0.36537525,,,,
1568859_a_at,0.06349449,-0.14514974,,,,
220233_at,0.06350021,0.53382134,,,,
238365_s_at,0.06352768,-0.16880283,,,,
239978_at,0.06353516,0.37942638,,,,
206814_at,0.06353658,0.1725206,,,,
227768_at,0.06355032,0.1854061,,,,
243559_at,0.06356,0.11320152,,,,
207611_at,0.06357108,-0.13340765,,,,
1559956_at,0.06358477,-0.09547709,,,,
1563357_at,0.06359051,0.38989183,,,,
214500_at,0.0636073,-0.41145266,,,,
1553482_at,0.06360785,0.10112438,,,,
210825_s_at,0.06360904,0.39587123,,,,
1564691_at,0.06362265,-0.09807738,,,,
1557372_at,0.06362551,0.27284899,,,,
212925_at,0.06362703,-0.69719638,,,,
1553204_at,0.06363269,-0.12605594,,,,
210273_at,0.06364013,-0.35919593,,,,
225992_at,0.06364237,0.25445432,,,,
221203_s_at,0.06364474,0.31303903,,,,
216937_s_at,0.06367859,-0.12052574,,,,
202097_at,0.06369071,0.26241424,,,,
1552453_a_at,0.06369446,-0.09229647,,,,
207309_at,0.06371087,-0.12840439,,,,
219878_s_at,0.06371829,-0.3304252,,,,
209537_at,0.06372341,0.36408301,,,,
201599_at,0.06373389,0.38686701,,,,
214366_s_at,0.06374296,-0.55834999,,,,
228774_at,0.06377122,0.2816098,,,,
231854_at,0.06378394,0.23042244,,,,
237048_at,0.06380385,0.29625624,,,,
1563296_at,0.0638241,-0.10180224,,,,
1569532_a_at,0.06382428,-0.37809335,,,,
1561846_s_at,0.06383441,-0.10417952,,,,
1554588_a_at,0.0638466,0.35939027,,,,
221399_at,0.06385861,-0.17479661,,,,
217854_s_at,0.06386347,-0.31705424,,,,
218232_at,0.06389084,-0.559703,,,,
201822_at,0.06393575,0.27215029,,,,
200059_s_at,0.06393931,-0.17567663,,,,
216003_at,0.06394668,-0.1173263,,,,
203830_at,0.06395426,0.354767,,,,
202101_s_at,0.06395507,-0.35644434,,,,
237861_at,0.06396506,-0.12872599,,,,
223140_s_at,0.06402727,0.25661269,,,,
222313_at,0.06403137,0.42886253,,,,
229453_at,0.06404158,0.33684496,,,,
234771_at,0.06405816,-0.10294619,,,,
239154_at,0.06408994,0.3721793,,,,
214306_at,0.06410364,0.32510293,,,,
241685_x_at,0.06410657,-0.37420989,,,,
208730_x_at,0.06413361,0.34754004,,,,
218633_x_at,0.06414227,0.20541318,,,,
238693_at,0.06414517,0.39610327,,,,
201633_s_at,0.06414796,-0.39119683,,,,
219946_x_at,0.06416781,-0.37047695,,,,
1564637_a_at,0.0641682,0.2154313,,,,
217096_at,0.06416872,-0.11548986,,,,
228389_at,0.06417884,0.21993964,,,,
239300_at,0.06418429,0.36146668,,,,
1569171_a_at,0.0642052,-0.10751576,,,,
213997_at,0.06423637,-0.21087062,,,,
1555740_a_at,0.06424754,-0.28236528,,,,
215633_x_at,0.06427571,-0.48760732,,,,
231238_at,0.06427769,-0.30752063,,,,
230802_at,0.06429024,0.23352707,,,,
207164_s_at,0.06429721,-0.37073407,,,,
1555703_at,0.0643123,-0.13701647,,,,
220378_at,0.06431536,0.15519641,,,,
234615_at,0.06432285,-0.09444106,,,,
206899_at,0.06433716,-0.15997456,,,,
223755_at,0.06435744,-0.13744137,,,,
1557303_at,0.06437208,-0.26150649,,,,
227513_s_at,0.06440075,-0.32712703,,,,
216760_at,0.06440353,-0.16096679,,,,
1565565_at,0.06441419,-0.11307816,,,,
242408_at,0.06442392,0.31201001,,,,
222162_s_at,0.06442729,0.54320591,,,,
207236_at,0.06444525,0.46070787,,,,
1554835_a_at,0.06447041,-0.44866259,,,,
1553641_a_at,0.06448039,-0.13896729,,,,
237100_at,0.06456543,-0.09846418,,,,
207429_at,0.06457513,-0.15012797,,,,
223004_s_at,0.0645829,0.21961807,,,,
1556320_at,0.06458891,-0.18919794,,,,
1563113_at,0.06458926,-0.11670473,,,,
240536_at,0.06460401,-0.08312697,,,,
234365_at,0.06460657,-0.12740661,,,,
232323_s_at,0.06460872,0.37516646,,,,
208814_at,0.06461144,0.33495428,,,,
210097_s_at,0.06462724,0.23063854,,,,
238814_at,0.06464821,-0.11580462,,,,
208245_at,0.06465928,0.08810492,,,,
242935_at,0.0646646,-0.24016529,,,,
210023_s_at,0.06468062,-0.34773187,,,,
203852_s_at,0.0646837,0.24249445,,,,
225727_at,0.06468576,-0.43264527,,,,
207009_at,0.06468683,-0.5035208,,,,
212732_at,0.06468876,0.55228442,,,,
235826_at,0.06470176,0.21530539,,,,
239037_at,0.06471498,-0.1266732,,,,
215487_x_at,0.06471839,0.13527354,,,,
232828_at,0.06472341,-0.1318383,,,,
210475_at,0.06472641,-0.12372641,,,,
205246_at,0.06474025,0.34882201,,,,
208936_x_at,0.06474428,0.39599831,,,,
213041_s_at,0.06475727,-0.26482974,,,,
233741_at,0.06476059,-0.09924554,,,,
212060_at,0.06476183,0.27479409,,,,
206313_at,0.06478834,-0.33634727,,,,
234345_at,0.06482743,-0.109682,,,,
1563190_at,0.0648319,-0.09086391,,,,
1553658_at,0.0648474,-0.12363478,,,,
229193_at,0.06484849,0.35992772,,,,
1560240_at,0.06485061,-0.15477171,,,,
201724_s_at,0.06485946,0.31127917,,,,
1569074_at,0.06486854,-0.1408649,,,,
1556873_at,0.06487532,0.08267736,,,,
238086_at,0.06487744,-0.14767813,,,,
228472_at,0.06488166,-0.24966533,,,,
211520_s_at,0.06488824,-0.08553735,,,,
207902_at,0.06489353,-0.10852192,,,,
241768_at,0.06491116,-0.15347171,,,,
230505_at,0.06492274,0.18786146,,,,
230035_at,0.06493021,0.17295596,,,,
223012_at,0.06493802,0.2341176,,,,
206723_s_at,0.06495413,0.37193601,,,,
231487_at,0.0649927,0.08257877,,,,
238448_at,0.06503689,0.26117159,,,,
