 ID,P.Value,logFC
MIMAT0028220,0.17526,0.35309
MIMAT0027427,0.17671,0.32988
MIMAT0027617,0.17716,0.3916
MIMAT0025487,0.17723,0.32537
MIMAT0015082,0.17842,0.34279
MIMAT0027491,0.18012,0.32464
MIMAT0018005,0.18077,0.42945
MIMAT0028230,0.18144,0.34473
MIMAT0000725,0.18186,0.30826
MIMAT0019839,0.18209,0.40709
MIMAT0027682,0.1832,0.40767
MIMAT0027504,0.1839,0.36736
MIMAT0021129,0.184,0.42955
MIMAT0016896,0.18463,0.37487
MIMAT0027554,0.18472,0.34949
MIMAT0006765,0.18532,0.46562
MIMAT0026718,0.18629,0.34695
MIMAT0027689,0.18668,0.364
MIMAT0027559,0.18767,0.405
MIMAT0020924,0.18839,0.38195
MIMAT0019846,0.18849,0.3468
MIMAT0005939,0.18955,0.52425
MIMAT0027569,0.18956,0.37729
MIMAT0027591,0.19104,0.38568
MIMAT0030422,0.19169,0.34985
MIMAT0027481,0.19204,0.37717
MIMAT0027631,0.19314,0.36848
MIMAT0015024,0.19336,0.40015
MIMAT0022838,0.1935,0.25309
MIMAT0005826,0.19365,0.36612
MIMAT0016875,0.19375,0.37237
MIMAT0028120,0.1939,0.40966
MIMAT0002174,0.19413,0.35613
MIMAT0027360,0.19517,0.34368
MIMAT0007347,0.19552,0.2856
MIMAT0027387,0.19557,0.29746
MIMAT0027436,0.19788,0.34544
MIMAT0018976,0.19826,0.34108
MIMAT0019065,0.19864,0.37999
MIMAT0031000,0.19878,0.37311
MIMAT0027388,0.19907,0.36531
MIMAT0025476,0.19915,0.36689
MIMAT0027665,0.20042,0.36918
MIMAT0027497,0.20066,0.31231
MIMAT0019807,0.20068,0.31734
MIMAT0017996,0.20415,0.31089
MIMAT0027659,0.20504,0.3705
MIMAT0007348,0.20511,0.32704
MIMAT0005593,0.20621,0.36445
MIMAT0019707,0.20743,0.34982
MIMAT0022979,0.20746,0.30449
MIMAT0027423,0.20756,0.38479
MIMAT0027683,0.20841,0.35748
MIMAT0005583,0.20889,0.33126
MIMAT0019886,0.20918,0.32129
MIMAT0024597,0.21051,0.38093
MIMAT0027681,0.21053,0.33821
MIMAT0027450,0.21101,0.33278
MIMAT0018105,0.21168,0.29762
MIMAT0027544,0.2118,0.32592
MIMAT0005929,0.21202,0.35884
MIMAT0030411,0.21293,0.35696
MIMAT0027623,0.21347,0.29534
MIMAT0019213,0.21493,0.36068
MIMAT0019855,0.21503,0.45698
MIMAT0003312,0.21529,0.35142
MIMAT0027366,0.21575,0.37233
MIMAT0011163,0.2182,0.33129
MIMAT0027507,0.21862,0.36591
MIMAT0015080,0.21918,0.28654
MIMAT0027358,0.21919,0.37337
MIMAT0019854,0.21965,0.31691
MIMAT0027514,0.22038,0.35928
MIMAT0027493,0.22069,0.30027
